"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cote d'Ivoire","CIV","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4014","4295","4588","4906","5227","5546","5871","6190","6497","6690","6771","6770","6682","6592","6476","6329","6154","5964","5827","5741","5686","5637","5520","5394","5237","5141","5059","4999","4947","4908","4881","4872","4882","",
"Cameroon","CMR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3460","3645","3834","4026","4236","4443","4658","4884","5115","5347","5577","5808","6044","6269","6471","6657","6822","6964","7108","7247","7385","7513","7625","7729","7839","8013","8140","8221","8266","8365","8473","8612","8772","",
"Congo, Dem. Rep.","COD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17016","17463","17806","17963","18350","19696","23238","18798","18395","18568","18842","19211","19681","20199","20645","21247","21900","22631","23421","24132","24806","25467","26204","26883","27660","28574","29646","30514","31186","31699","32098","32533","33117","",
"Congo, Rep.","COG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1490","1469","1457","1445","1443","1437","1440","1425","1384","1366","1334","1364","1319","1265","1252","1246","1245","1239","1229","1196","1202","1166","1128","1080","1046","1023","1013","1011","1016","1249","1040","1055","1077","",
"Colombia","COL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11096","10506","9926","9398","8933","8579","8379","8381","8594","9019","9491","9729","9555","9050","8352","7672","7187","6960","6873","6812","6728","6592","6393","6185","6010","5876","5788","5772","5875","6040","6219","6394","6584","",
"Comoros","COM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","85","85","84","84","84","84","84","84","83","82","80","79","77","78","77","77","76","75","74","73","72","70","69","69","67","67","66","65","64","63","62","62","",
"Cabo Verde","CPV","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","41","42","43","60","46","46","48","48","49","49","49","48","49","49","49","50","50","50","49","51","51","51","51","52","51","50","49","47","47","45","44","",
"Costa Rica","CRI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213","218","223","231","242","252","264","276","286","293","296","300","304","310","314","319","334","361","383","384","367","347","333","333","347","371","392","401","399","390","380","379","388","",
"Caribbean small states","CSS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374","371","374","380","388","392","399","401","402","397","389","384","380","379","384","383","384","381","382","385","390","396","410","418","420","413","407","396","381","395","364","358","349","",
"Cuba","CUB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405","1396","1373","1333","1270","1176","1063","937","813","705","616","546","500","475","465","462","463","461","458","459","462","460","454","441","421","401","387","381","383","392","405","423","440","",
